"","name","rank","friday","sunday","simulationID"
"15136","Grillo, Emiliano",31,142,288,"5007"
"15856","Haas, Bill",66,149,NA,"5007"
"16576","Herman, Jim",38,141,292,"5007"
"17296","Hoffman, Charley",26,143,287,"5007"
"18016","Holmes, J.B.",47,145,294,"5007"
"18736","Horschel, Billy",34,142,289,"5007"
"19456","Immelman, Trevor",77,153,NA,"5007"
"20176","Jaidee, Thongchai",38,144,292,"5007"
"20896","Johnson, Dustin",9,142,282,"5007"
"21616","Johnson, Zach",31,146,288,"5007"
"22336","Kaufman, Smylie",66,149,NA,"5007"
"23056","Kaymer, Martin",49,144,295,"5007"
"23776","Kirk, Chris",72,151,NA,"5007"
"24496","Kisner, Kevin",31,141,288,"5007"
"25216","Kjeldsen, Soren",58,148,NA,"5007"
"25936","Knox, Russell",26,146,287,"5007"
"26656","Koepka, Brooks",34,141,289,"5007"
"27376","Kuchar, Matt",2,144,278,"5007"
"28096","Lahiri, Anirban",72,151,NA,"5007"
"28816","Langer, Bernhard",42,143,293,"5007"
"29536","Lee, Danny",58,148,NA,"5007"
"30256","Leishman, Marc",58,148,NA,"5007"
"30976","Lingmerth, David",51,147,NA,"5007"
"31696","Love III, Davis",15,142,284,"5007"
"32416","Lowry, Shane",42,144,293,"5007"
"33136","Mahan, Hunter",26,141,287,"5007"
"33856","Matsuyama, Hideki",72,151,NA,"5007"
"34576","McDowell, Graeme",15,139,284,"5007"
"35296","McIlroy, Rory",26,143,287,"5007"
"36016","Merritt, Troy",13,142,283,"5007"
"36736","Mickelson, Phil",18,142,285,"5007"
"37456","Moore, Ryan",58,148,NA,"5007"
"38176","Na, Kevin",42,144,293,"5007"
"38896","Oosthuizen, Louis",38,145,292,"5007"
"39616","Piercy, Scott",51,147,NA,"5007"
"40336","Poulter, Ian",51,147,NA,"5007"
"41056","Reed, Patrick",51,147,NA,"5007"
"41776","Rose, Justin",70,150,NA,"5007"
"42496","Schwartzel, Charl",51,147,NA,"5007"
"43216","Scott, Adam",18,137,285,"5007"
"43936","Simpson, Webb",42,144,293,"5007"
"44656","Singh, Vijay",51,147,NA,"5007"
"45376","Smith, Cameron",66,149,NA,"5007"
"46096","Snedeker, Brandt",6,144,280,"5007"
"46816","Spieth, Jordan",1,133,273,"5007"
"47536","Stenson, Henrik",4,139,279,"5007"
"48256","Streb, Robert",34,142,289,"5007"
"48976","Streelman, Kevin",26,146,287,"5007"
"49696","Sullivan, Andy",13,139,283,"5007"
"50416","Taylor, Vaughn",20,144,286,"5007"
"51136","Thomas, Justin",2,136,278,"5007"
"51856","Walker, Jimmy",20,145,286,"5007"
"52576","Watson, Bubba",15,140,284,"5007"
"53296","Weir, Mike",51,147,NA,"5007"
"54016","Westwood, Lee",20,144,286,"5007"
"54736","Wiesberger, Bernd",7,134,281,"5007"
"55456","Willett, Danny",70,150,NA,"5007"
"56176","Wood, Chris",66,149,NA,"5007"
"17","An, Byeong Hun",56,148,NA,"5008"
"737","Aphibarnrat, Kiradech",14,140,282,"5008"
