name,modranks,prob,sg.approach,sg.around,sg.tee,sg.putt,sg.total,score,rank,owgr.April,owgr.Feb,actualrank,year,vegasranks
"Ogilvie, Joe",58,0.0029,-0.053302326,0.157348837,0.087534884,0.364732558,0.556313953,290,26,2.03,1.5,24,2005,NA
"Pampling, Rod",59,0.0024,0.176064516,0.013129032,0.117451613,-0.014483871,0.29216129,284,7,2.06,2.11,5,2005,NA
"Parnevik, Jesper",59,0.0024,-0.229927536,0.182608696,0.054014493,0.607652174,0.614347826,151,58,1.58,1.67,55,2005,NA
"Stadler, Craig",59,0.0024,-0.158545455,0.592909091,0.367727273,1.116818182,1.918909091,306,72,0.5672,0.5672,67,2005,NA
"Palmer, Ryan",62,0.002,-0.071822222,-0.235866667,0.191888889,0.015933333,-0.099866667,295,39.5,1.3,1.32,36,2005,NA
"Riley, Chris",63,0.0019,0.005714286,0.199755102,-0.028040816,-0.097632653,0.079795918,304,64.5,1.95,2.16,58,2005,NA
"McDowell, Graeme",64,0.0017,0.1412,-0.2314,-0.1884,1.0472,0.7686,149,48.5,2.59,2.03,44,2005,NA
"Beem, Rich",65,0.0015,-0.082015152,0.177363636,0.139378788,-0.445848485,-0.211121212,152,64.5,0.6642,0.4445,58,2005,NA
"Langer, Bernhard",65,0.0015,0.379138889,0.070111111,-0.275,0.011916667,0.186166667,289,22,1.66,1.68,19,2005,NA
"Hamilton, Todd",67,0.0013,-0.222,0.144785714,-0.145428571,0.235857143,0.013214286,295,39.5,2.79,3.23,36,2005,NA
"Wittenberg, Casey",67,0.0013,0.03525,-0.246,-0.048,-0.66875,-0.9275,294,35,0.3071,0.3274,32,2005,NA
"Micheel, Shaun",69,0.001,-0.138538462,-0.206692308,-0.007769231,0.233615385,-0.119384615,153,72,1.45,1.82,67,2005,NA
"Mize, Larry",69,0.001,-0.8207,0.112033333,-0.410566667,0.6662,-0.453033333,153,72,0.2003,0.2254,67,2005,NA
"Jacobson, Freddie",71,9E-04,0.062945455,-0.080981818,-0.167272727,0.442181818,0.256872727,152,64.5,1.9,2.34,58,2005,NA
"Curtis, Ben",72,8E-04,0.063394737,0.098684211,-0.030973684,-0.226789474,-0.095684211,152,64.5,1.01,1.15,58,2005,NA
"O'Meara, Mark",73,6E-04,-0.694028571,0.0606,-0.443685714,0.430028571,-0.647085714,293,31.5,1.18,1.32,30,2005,NA
"Levet, Thomas",74,5E-04,-0.273117647,0.154764706,-0.687647059,-0.942588235,-1.748588235,287,14.5,2.2,2.2,13,2005,NA
"Duval, David",75,2E-04,-0.928730769,0.263,-1.626769231,-0.312692308,-2.605192308,152,64.5,0.1275,0.1622,58,2005,NA
"Woods, Tiger",1,0.3966,1.023509804,-0.037941176,0.857490196,0.621823529,2.464882353,284,5,18.09,17.77,3,2006,NA
"Mickelson, Phil",2,0.0901,0.491156863,0.240980392,0.78227451,0.283666667,1.798078431,281,1,8.13,7.75,1,2006,NA
"Singh, Vijay",3,0.0506,0.860073171,0.374536585,0.904585366,0.151439024,2.290634146,285,8.5,8.72,9.17,8,2006,NA
