name,year,hole,yardage,round,par,score,rtp_score,fairway,green,bunker,sand_save,scrambling,putts,par3,par4,par5,sg_approach,sg_around,sg_tee,sg_putt,sg_total,total_score,no_holes,avg_round_score,rank,no_masters,OWGR_april,OWGR_feb,rtp_score_grouped,time,round_hole,round_hole_time,round_year,no_masters_category,performance_by_par,OWGR_change,Level,P(w/ player effects),P(w/o player effects)
"An, Byeong Hun",2016,18,465,1,4,4,0,1,0,0,0,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,18,234,2016,1,4.09,-0.1134,-1,0.99681,0.99681
"An, Byeong Hun",2016,1,445,2,4,4,0,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,2,26,4032,1,4.09,-0.1134,2,0.03528,0.03528
"An, Byeong Hun",2016,1,445,2,4,4,0,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,2,26,4032,1,4.09,-0.1134,1,0.29383,0.29383
"An, Byeong Hun",2016,1,445,2,4,4,0,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,2,26,4032,1,4.09,-0.1134,0,0.90083,0.90083
"An, Byeong Hun",2016,1,445,2,4,4,0,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,2,26,4032,1,4.09,-0.1134,-1,0.99736,0.99736
"An, Byeong Hun",2016,2,575,2,5,5,0,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,4,52,4032,1,4.73,-0.1134,2,0.00615,0.00615
"An, Byeong Hun",2016,2,575,2,5,5,0,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,4,52,4032,1,4.73,-0.1134,1,0.06583,0.06583
"An, Byeong Hun",2016,2,575,2,5,5,0,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,4,52,4032,1,4.73,-0.1134,0,0.60606,0.60606
"An, Byeong Hun",2016,2,575,2,5,5,0,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,4,52,4032,1,4.73,-0.1134,-1,0.98462,0.98462
"An, Byeong Hun",2016,3,350,2,4,4,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,6,78,4032,1,4.09,-0.1134,2,0.01453,0.01453
"An, Byeong Hun",2016,3,350,2,4,4,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,6,78,4032,1,4.09,-0.1134,1,0.14366,0.14366
"An, Byeong Hun",2016,3,350,2,4,4,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,6,78,4032,1,4.09,-0.1134,0,0.78552,0.78552
"An, Byeong Hun",2016,3,350,2,4,4,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,6,78,4032,1,4.09,-0.1134,-1,0.99348,0.99348
"An, Byeong Hun",2016,4,240,2,3,4,1,0,0,0,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,8,104,4032,1,3.03,-0.1134,2,0.03522,0.03522
"An, Byeong Hun",2016,4,240,2,3,4,1,0,0,0,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,8,104,4032,1,3.03,-0.1134,1,0.29348,0.29348
"An, Byeong Hun",2016,4,240,2,3,4,1,0,0,0,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,8,104,4032,1,3.03,-0.1134,0,0.90068,0.90068
"An, Byeong Hun",2016,4,240,2,3,4,1,0,0,0,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,8,104,4032,1,3.03,-0.1134,-1,0.99736,0.99736
"An, Byeong Hun",2016,5,455,2,4,3,-1,0,1,0,0,-1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,10,130,4032,1,4.09,-0.1134,2,0.02818,0.02818
"An, Byeong Hun",2016,5,455,2,4,3,-1,0,1,0,0,-1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,10,130,4032,1,4.09,-0.1134,1,0.24808,0.24808
"An, Byeong Hun",2016,5,455,2,4,3,-1,0,1,0,0,-1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,10,130,4032,1,4.09,-0.1134,0,0.87809,0.87809
"An, Byeong Hun",2016,5,455,2,4,3,-1,0,1,0,0,-1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,10,130,4032,1,4.09,-0.1134,-1,0.99667,0.99667
"An, Byeong Hun",2016,6,180,2,3,4,1,0,1,0,0,-1,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,12,156,4032,1,3.03,-0.1134,2,0.02308,0.02308
"An, Byeong Hun",2016,6,180,2,3,4,1,0,1,0,0,-1,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,12,156,4032,1,3.03,-0.1134,1,0.21187,0.21187
"An, Byeong Hun",2016,6,180,2,3,4,1,0,1,0,0,-1,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,12,156,4032,1,3.03,-0.1134,0,0.85442,0.85442
"An, Byeong Hun",2016,6,180,2,3,4,1,0,1,0,0,-1,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,12,156,4032,1,3.03,-0.1134,-1,0.99592,0.99592
"An, Byeong Hun",2016,7,450,2,4,5,1,0,0,0,0,0,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,14,182,4032,1,4.09,-0.1134,2,0.02705,0.02705
