name,year,hole,yardage,round,par,score,rtp_score,sg_total,no_masters,Level,Mu,Mu.no.bulps,P
"An, Byeong Hun",2016,13,510,3,5,.,.,0.212,2,3,0.00053,0.00051,0.00053
"An, Byeong Hun",2016,13,510,3,5,.,.,0.212,2,2,0.00426,0.00409,0.00426
"An, Byeong Hun",2016,13,510,3,5,.,.,0.212,2,1,0.04667,0.04486,0.04667
"An, Byeong Hun",2016,13,510,3,5,.,.,0.212,2,0,0.51892,0.50855,0.51892
"An, Byeong Hun",2016,13,510,3,5,.,.,0.212,2,-1,0.97843,0.97754,0.97843
"An, Byeong Hun",2016,14,440,3,4,.,.,0.212,2,3,0.00307,0.00295,0.00307
"An, Byeong Hun",2016,14,440,3,4,.,.,0.212,2,2,0.02409,0.02313,0.02409
"An, Byeong Hun",2016,14,440,3,4,.,.,0.212,2,1,0.22026,0.21322,0.22026
"An, Byeong Hun",2016,14,440,3,4,.,.,0.212,2,0,0.86157,0.85654,0.86157
"An, Byeong Hun",2016,14,440,3,4,.,.,0.212,2,-1,0.99619,0.99603,0.99619
"An, Byeong Hun",2016,15,530,3,5,.,.,0.212,2,3,0.00113,0.00108,0.00113
"An, Byeong Hun",2016,15,530,3,5,.,.,0.212,2,2,0.00894,0.00858,0.00894
"An, Byeong Hun",2016,15,530,3,5,.,.,0.212,2,1,0.09357,0.09011,0.09357
"An, Byeong Hun",2016,15,530,3,5,.,.,0.212,2,0,0.69459,0.68572,0.69459
"An, Byeong Hun",2016,15,530,3,5,.,.,0.212,2,-1,0.98965,0.98922,0.98965
"An, Byeong Hun",2016,16,170,3,3,.,.,0.212,2,3,0.00261,0.0025,0.00261
"An, Byeong Hun",2016,16,170,3,3,.,.,0.212,2,2,0.02049,0.01968,0.02049
"An, Byeong Hun",2016,16,170,3,3,.,.,0.212,2,1,0.19322,0.18683,0.19322
"An, Byeong Hun",2016,16,170,3,3,.,.,0.212,2,0,0.84068,0.83504,0.84068
"An, Byeong Hun",2016,16,170,3,3,.,.,0.212,2,-1,0.99551,0.99533,0.99551
"An, Byeong Hun",2016,17,440,3,4,.,.,0.212,2,3,0.00625,0.006,0.00625
"An, Byeong Hun",2016,17,440,3,4,.,.,0.212,2,2,0.04796,0.0461,0.04796
"An, Byeong Hun",2016,17,440,3,4,.,.,0.212,2,1,0.36573,0.35616,0.36573
"An, Byeong Hun",2016,17,440,3,4,.,.,0.212,2,0,0.92703,0.92417,0.92703
"An, Byeong Hun",2016,17,440,3,4,.,.,0.212,2,-1,0.99813,0.99805,0.99813
"An, Byeong Hun",2016,18,465,3,4,.,.,0.212,2,3,0.00658,0.00632,0.00658
"An, Byeong Hun",2016,18,465,3,4,.,.,0.212,2,2,0.0504,0.04845,0.0504
"An, Byeong Hun",2016,18,465,3,4,.,.,0.212,2,1,0.37791,0.3682,0.37791
"An, Byeong Hun",2016,18,465,3,4,.,.,0.212,2,0,0.93048,0.92775,0.93048
"An, Byeong Hun",2016,18,465,3,4,.,.,0.212,2,-1,0.99823,0.99815,0.99823
"An, Byeong Hun",2016,1,445,4,4,.,.,0.212,2,3,0.00483,0.00464,0.00483
"An, Byeong Hun",2016,1,445,4,4,.,.,0.212,2,2,0.03743,0.03596,0.03743
"An, Byeong Hun",2016,1,445,4,4,.,.,0.212,2,1,0.30801,0.29924,0.30801
"An, Byeong Hun",2016,1,445,4,4,.,.,0.212,2,0,0.90746,0.90392,0.90746
"An, Byeong Hun",2016,1,445,4,4,.,.,0.212,2,-1,0.99758,0.99748,0.99758
"An, Byeong Hun",2016,2,575,4,5,.,.,0.212,2,3,0.00069,0.00066,0.00069
"An, Byeong Hun",2016,2,575,4,5,.,.,0.212,2,2,0.00547,0.00525,0.00547
